0	2	41
1299	663	2	42
1340	0	2	46
1573	663	3	46
1614	0	3	46
1848	663	3	46
1889	0	4	46
2122	663	4	47
2163	0	5	47
2397	663	5	47
2438	0	5	47
2671	664	5	47
2712	0	5	47
2946	663	6	47
2987	0	6	48
3220	663	6	48
3261	0	7	48
3494	663	7	48
3535	0	8	48
3769	663	8	48
3810	0	9	49
4043	663	9	49
4084	0	10	50
4318	663	10	50
4359	0	10	51
4592	663	10	51
4633	0	10	52
4867	664	10	52
4908	0	11	52
5141	663	11	53
5182	0	11	53
5415	663	12	53
5456	0	12	53
5690	663	12	53
5731	0	12	53
5964	663	12	54
6005	0	13	54
6239	663	13	54
6280	0	13	54
6513	663	13	54
6554	0	13	55
6788	663	13	55
6829	0	14	55
7062	663	14	55
7103	0	14	55
7336	663	14	55
7377	0	14	55
7611	663	14	55
7652	0	15	56
7885	663	15	56
7926	0	15	56
8160	663	15	56
8201	0	15	57
8434	663	15	57
8475	0	16	57
8709	663	16	57
8750	0	16	57
8983	663	16	57
9024	0	16	57
9257	663	16	58
9298	0	16	58
9532	663	16	58
9573	0	17	58
9806	663	17	58
9847	0	18	59
10081	663	18	59
10122	0	19	59
10355	663	19	59
10396	0	19	59
10630	663	20	59
10671	0	20	59
10904	663	21	59
10945	0	21	59
11179	663	21	59
11220	0	21	59
11454	663	21	59
11495	0	22	59
11728	663	22	59
11769	0	22	59
12003	663	22	60
12044	0	22	60
12277	663	22	61
12318	0	22	61
12552	663	23	62
12593	0	23	62
12826	663	24	62
12867	0	24	63
13101	663	24	63
13142	0	25	64
13375	663	25	64
13416	0	25	64
13649	663	26	64
13690	0	26	64
13924	663	27	64
13965	0	27	64
14198	663	27	65
14239	0	28	65
14473	663	28	65
14514	0	28	66
14747	663	29	66
14788	0	29	66
15022	663	29	66
15063	0	30	66
15296	663	30	67
15337	0	30	67
15570	663	31	67
15611	0	31	67
15845	663	32	67
15886	0	32	68
16119	663	32	68
16160	0	33	68
16394	663	33	68
16435	0	33	68
16668	663	33	68
16709	0	33	68
16943	663	34	69
16984	0	34	69
17217	663	34	69
17258	0	35	70
17491	663	35	70
17532	0	35	70
17766	663	35	70
17807	0	35	70
18040	663	36	70
18081	0	36	70
18315	663	36	70
18356	0	36	70
18589	663	37	70
18630	0	37	71
18864	663	37	71
18905	0	38	71
19138	663	38	72
19179	0	38	72
19412	663	39	72
19453	0	39	72
19687	663	39	73
19728	0	39	73
19961	663	40	73
20002	0	40	74
20236	663	40	74
20277	0	41	74
20510	663	41	75
20551	0	41	75
20785	663	42	75
20826	0	42	76
21059	663	42	76
21100	0	42	76
21334	663	43	77
21376	0	43	77
21609	663	43	77
21650	0	43	78
21883	663	44	78
21924	0	44	78
22158	663	44	78
22199	0	44	79
22432	663	45	79
22473	0	45	79
22707	663	45	80
22748	0	45	80
22981	663	46	80
23022	0	46	80
23256	663	46	80
23297	0	47	80
23530	663	47	80
23571	0	47	81
23804	663	47	81
23845	0	48	81
24079	663	48	82
24120	0	48	82
24353	663	48	82
24394	0	49	82
24628	663	49	83
24669	0	49	83
24902	663	49	83
24943	0	49	83
25177	663	50	84
25218	0	50	84
25451	663	50	84
25492	0	50	84
25725	663	51	85
25766	0	51	85
26000	663	51	85
26041	0	51	85
26274	663	51	85
26315	0	52	85
26549	663	52	85
26590	0	52	85
26823	663	52	86
26864	0	52	86
27098	663	52	86
27139	0	53	86
27372	663	53	86
27413	0	53	87
27646	663	53	87
27687	0	53	87
27921	663	53	87
27962	0	54	87
28195	663	54	87
28236	0	54	88
28470	663	54	88
28511	0	54	88
28744	663	54	88
28785	0	54	88
29019	663	55	88
29060	0	55	89
29293	663	55	89
29334	0	55	89
29568	663	55	89
29609	0	56	90
29843	663	56	90
29884	0	56	90
30117	663	56	90
30158	0	56	90
30392	663	56	90
30433	0	56	91
30666	663	56	91
30707	0	57	91
30941	663	57	91
30982	0	57	91
31215	663	57	91
31256	0	57	91
31490	663	57	92
31531	0	57	92
31764	663	57	92
31805	0	57	92
32038	663	57	92
32079	0	58	92
32313	663	58	92
32354	0	58	93
32587	663	58	93
32628	0	58	93
32862	663	58	93
32903	0	58	93
33136	663	59	93
33177	0	59	93
33411	663	59	94
33452	0	59	94
33685	663	59	94
33726	0	59	94
33959	663	59	94
34000	0	60	95
34234	663	60	95
34275	0	60	95
34508	663	60	95
34549	0	60	95
34783	663	60	95
34824	0	60	96
35057	663	60	96
35098	0	61	96
35332	663	61	96
35373	0	62	96
35606	663	62	96
35647	0	62	96
35880	663	62	96
35921	0	62	96
36155	663	62	96
36196	0	62	96
36429	663	62	96
36470	0	63	96
36704	663	63	96
36745	0	63	96
36978	663	63	96
37019	0	63	97
37253	663	63	97
37294	0	63	97
37527	663	63	97
37568	0	63	97
37801	663	63	97
37842	0	64	97
38076	663	64	97
38117	0	64	98
38350	663	64	98
38391	0	64	98
38625	663	64	98
38666	0	64	98
38899	663	64	99
38940	0	64	99
39174	663	64	99
39215	0	64	99
39448	663	64	99
39489	0	64	99
39723	663	64	99
39764	0	65	100
39998	662	65	100
40039	0	65	100
40272	662	66	100
40313	0	66	100
40547	662	66	100
40588	0	66	100
40821	662	66	100
